time,rna_copies,label,filename,virus
2022-08-22,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-08-29,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-09-05,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-09-12,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-09-19,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-09-26,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-10-03,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-10-10,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-10-17,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-10-24,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-10-31,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-11-07,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-11-14,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-11-21,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-11-28,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-12-05,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-12-12,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-12-19,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-12-26,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-01-02,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-01-09,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-01-16,0.0,start,Mov-FluB-Nat.csv,FLUB
2023-01-23,0.0,start,Mov-FluB-Nat.csv,FLUB
2023-01-30,38286215517.64167,start,Mov-FluB-Nat.csv,FLUB
2023-02-06,102245356884.195,start,Mov-FluB-Nat.csv,FLUB
2023-02-13,136825196662.52568,on going,Mov-FluB-Nat.csv,FLUB
2023-02-20,98538981144.884,on going,Mov-FluB-Nat.csv,FLUB
2023-02-27,166404553261.69534,on going,Mov-FluB-Nat.csv,FLUB
2023-03-06,375324600377.5856,on going,Mov-FluB-Nat.csv,FLUB
2023-03-13,426416350629.0759,on going,Mov-FluB-Nat.csv,FLUB
2023-03-20,480724084600.00336,on going,Mov-FluB-Nat.csv,FLUB
2023-03-27,385447934687.8623,on going,Mov-FluB-Nat.csv,FLUB
2023-04-03,444683926109.6587,on going,Mov-FluB-Nat.csv,FLUB
2023-04-10,258551478655.36667,on going,Mov-FluB-Nat.csv,FLUB
2023-04-17,110327741673.28668,end,Mov-FluB-Nat.csv,FLUB
2023-04-24,44890384206.32267,end,Mov-FluB-Nat.csv,FLUB
2023-05-01,78303174246.404,end,Mov-FluB-Nat.csv,FLUB
2023-05-08,78303174246.404,end,Mov-FluB-Nat.csv,FLUB
2023-05-15,33412790040.081333,end,Mov-FluB-Nat.csv,FLUB
2023-05-22,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-05-29,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-06-05,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-06-12,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-06-19,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-06-26,7477601876.061367,none,Mov-FluB-Nat.csv,FLUB
2023-07-03,7477601876.061367,none,Mov-FluB-Nat.csv,FLUB
2023-07-10,7477601876.061367,none,Mov-FluB-Nat.csv,FLUB
2023-07-17,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-07-24,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-07-31,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-08-07,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-08-14,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-08-21,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-08-28,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-09-04,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-09-11,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-09-18,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-09-25,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-10-02,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-10-09,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-10-16,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-10-23,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-10-30,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-11-06,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-11-13,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-11-20,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-11-27,36841408023.771,none,Mov-FluB-Nat.csv,FLUB
2023-12-04,36841408023.771,none,Mov-FluB-Nat.csv,FLUB
2023-12-11,36841408023.771,none,Mov-FluB-Nat.csv,FLUB
2023-12-18,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-12-25,0.0,none,Mov-FluB-Nat.csv,FLUB
2024-01-01,0.0,none,Mov-FluB-Nat.csv,FLUB
2024-01-08,0.0,none,Mov-FluB-Nat.csv,FLUB
2024-01-15,0.0,none,Mov-FluB-Nat.csv,FLUB
2024-01-22,0.0,none,Mov-FluB-Nat.csv,FLUB
2024-01-29,0.0,none,Mov-FluB-Nat.csv,FLUB
2024-02-05,0.0,none,Mov-FluB-Nat.csv,FLUB
2024-02-12,0.0,none,Mov-FluB-Nat.csv,FLUB
2024-02-19,0.0,none,Mov-FluB-Nat.csv,FLUB
2024-02-26,0.0,none,Mov-FluB-Nat.csv,FLUB
2024-03-04,31112695315.45753,none,Mov-FluB-Nat.csv,FLUB
2024-03-11,31112695315.45753,none,Mov-FluB-Nat.csv,FLUB
2024-03-18,31112695315.45753,none,Mov-FluB-Nat.csv,FLUB
2024-03-25,0.0,none,Mov-FluB-Nat.csv,FLUB
2024-04-01,0.0,none,Mov-FluB-Nat.csv,FLUB
2024-04-08,19058971919.811638,none,Mov-FluB-Nat.csv,FLUB
2024-04-15,47477839281.30417,none,Mov-FluB-Nat.csv,FLUB
2024-04-22,97204246347.31915,none,Mov-FluB-Nat.csv,FLUB
2024-04-29,115541892492.60254,none,Mov-FluB-Nat.csv,FLUB
2024-05-06,123859888953.12468,none,Mov-FluB-Nat.csv,FLUB
2024-05-13,86795288527.04411,none,Mov-FluB-Nat.csv,FLUB
2024-05-20,49398670461.9491,none,Mov-FluB-Nat.csv,FLUB
2024-05-27,12661806639.934431,none,Mov-FluB-Nat.csv,FLUB
2024-06-03,5979299413.9682665,none,Mov-FluB-Nat.csv,FLUB
2024-06-10,5979299413.9682665,none,Mov-FluB-Nat.csv,FLUB
2024-06-17,5979299413.9682665,none,Mov-FluB-Nat.csv,FLUB
2024-06-24,9751887361.986032,none,Mov-FluB-Nat.csv,FLUB
2024-07-01,13934013449.6191,none,Mov-FluB-Nat.csv,FLUB
2024-07-08,13934013449.6191,none,Mov-FluB-Nat.csv,FLUB
2024-07-15,4182126087.633066,none,Mov-FluB-Nat.csv,FLUB
2024-07-22,0.0,none,Mov-FluB-Nat.csv,FLUB
2024-07-29,0.0,none,Mov-FluB-Nat.csv,FLUB
2024-08-05,0.0,none,Mov-FluB-Nat.csv,FLUB
2024-08-12,7572568199.650434,none,Mov-FluB-Nat.csv,FLUB
2024-08-19,7572568199.650434,none,Mov-FluB-Nat.csv,FLUB
2024-08-26,11041557754.5916,none,Mov-FluB-Nat.csv,FLUB
2024-09-02,3468989554.9411664,none,Mov-FluB-Nat.csv,FLUB
2024-09-09,13376750358.7863,none,Mov-FluB-Nat.csv,FLUB
2024-09-16,16057964300.927967,none,Mov-FluB-Nat.csv,FLUB
2024-09-23,16057964300.927967,none,Mov-FluB-Nat.csv,FLUB
2024-09-30,8650203513.567392,none,Mov-FluB-Nat.csv,FLUB
2024-10-07,4543005383.966723,none,Mov-FluB-Nat.csv,FLUB
2024-10-14,16597156606.954355,none,Mov-FluB-Nat.csv,FLUB
2024-10-21,20071488679.369564,start,Mov-FluB-Nat.csv,FLUB
2024-10-28,29917181962.756294,start,Mov-FluB-Nat.csv,FLUB
2024-11-04,48028188935.59023,start,Mov-FluB-Nat.csv,FLUB
2024-11-11,45174412709.71063,start,Mov-FluB-Nat.csv,FLUB
2024-11-18,33285714058.84172,start,Mov-FluB-Nat.csv,FLUB
2024-11-25,22728271608.70145,start,Mov-FluB-Nat.csv,FLUB
2024-12-02,36303454665.18983,start,Mov-FluB-Nat.csv,FLUB
2024-12-09,106897153264.32253,start,Mov-FluB-Nat.csv,FLUB
2024-12-16,221875939787.1552,on going,Mov-FluB-Nat.csv,FLUB
2024-12-23,307770301301.47,on going,Mov-FluB-Nat.csv,FLUB
2025-01-06,403759506805.542,on going,Mov-FluB-Nat.csv,FLUB
2025-01-13,1072616265762.3,on going,Mov-FluB-Nat.csv,FLUB
2025-01-20,1013351271379.1685,on going,Mov-FluB-Nat.csv,FLUB
2025-01-27,1869235105820.6355,on going,Mov-FluB-Nat.csv,FLUB
2025-02-03,1949521516403.8584,on going,Mov-FluB-Nat.csv,FLUB
2025-02-10,2445578066101.9834,on going,Mov-FluB-Nat.csv,FLUB
2025-02-17,2084814238981.1565,on going,Mov-FluB-Nat.csv,FLUB
2025-02-24,2523728186391.2563,on going,Mov-FluB-Nat.csv,FLUB
2025-03-03,2277005172559.933,on going,Mov-FluB-Nat.csv,FLUB
2025-03-10,1721030408349.1584,on going,Mov-FluB-Nat.csv,FLUB
2025-03-17,1038957961768.402,on going,Mov-FluB-Nat.csv,FLUB
2025-03-24,600744358735.566,on going,Mov-FluB-Nat.csv,FLUB
2025-03-31,418140709612.933,on going,Mov-FluB-Nat.csv,FLUB
2025-04-07,283902397642.1777,on going,Mov-FluB-Nat.csv,FLUB
2025-04-14,196606117653.4193,end,Mov-FluB-Nat.csv,FLUB
2025-04-21,145641199704.309,end,Mov-FluB-Nat.csv,FLUB
2025-04-28,98453595906.91386,end,Mov-FluB-Nat.csv,FLUB
2025-05-05,58390351716.96339,end,Mov-FluB-Nat.csv,FLUB
2025-05-12,25503514135.21753,end,Mov-FluB-Nat.csv,FLUB
2025-05-19,16705090467.870962,end,Mov-FluB-Nat.csv,FLUB
2025-05-26,14915922813.935766,end,Mov-FluB-Nat.csv,FLUB
2025-06-02,5789646436.861867,none,Mov-FluB-Nat.csv,FLUB
2025-06-09,5605902511.0249,none,Mov-FluB-Nat.csv,FLUB
2025-06-16,5605902511.0249,none,Mov-FluB-Nat.csv,FLUB
2025-06-23,5430499060.119006,none,Mov-FluB-Nat.csv,FLUB
2021-10-18,0.0,none,Mov-FluB-Nat.csv,FLUB
2021-10-25,0.0,none,Mov-FluB-Nat.csv,FLUB
2021-11-01,0.0,none,Mov-FluB-Nat.csv,FLUB
2021-11-08,0.0,none,Mov-FluB-Nat.csv,FLUB
2021-11-15,0.0,none,Mov-FluB-Nat.csv,FLUB
2021-11-22,0.0,none,Mov-FluB-Nat.csv,FLUB
2021-11-29,0.0,none,Mov-FluB-Nat.csv,FLUB
2021-12-06,18606543284.98413,none,Mov-FluB-Nat.csv,FLUB
2021-12-13,18606543284.98413,none,Mov-FluB-Nat.csv,FLUB
2021-12-20,18606543284.98413,none,Mov-FluB-Nat.csv,FLUB
2021-12-27,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-01-03,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-01-10,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-01-17,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-01-24,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-01-31,14751865674.456598,none,Mov-FluB-Nat.csv,FLUB
2022-02-07,14751865674.456598,none,Mov-FluB-Nat.csv,FLUB
2022-02-14,14751865674.456598,none,Mov-FluB-Nat.csv,FLUB
2022-02-21,63439301095.78533,none,Mov-FluB-Nat.csv,FLUB
2022-02-28,63439301095.78533,none,Mov-FluB-Nat.csv,FLUB
2022-03-07,63439301095.78533,none,Mov-FluB-Nat.csv,FLUB
2022-03-14,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-03-21,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-03-28,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-04-04,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-04-11,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-04-18,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-04-25,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-05-02,23466892601.2097,none,Mov-FluB-Nat.csv,FLUB
2022-05-09,38241472089.6359,none,Mov-FluB-Nat.csv,FLUB
2022-05-16,38241472089.6359,none,Mov-FluB-Nat.csv,FLUB
2022-05-23,14774579488.4262,none,Mov-FluB-Nat.csv,FLUB
2022-05-30,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-06-06,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-06-13,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-06-20,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-06-27,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-07-04,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-07-11,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-07-18,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-07-25,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-08-01,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-08-08,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-08-15,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-08-22,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-08-29,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-09-05,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-09-12,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-09-19,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-09-26,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-10-03,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-10-10,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-10-17,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-10-24,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-10-31,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-11-07,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-11-14,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-11-21,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-11-28,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-12-05,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-12-12,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-12-19,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-12-26,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-01-02,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-01-09,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-01-16,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-01-23,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-01-30,38286215517.64167,none,Mov-FluB-Nat.csv,FLUB
2023-02-06,102245356884.195,none,Mov-FluB-Nat.csv,FLUB
2023-02-13,136825196662.52568,none,Mov-FluB-Nat.csv,FLUB
2023-02-20,98538981144.884,none,Mov-FluB-Nat.csv,FLUB
2023-02-27,166404553261.69534,none,Mov-FluB-Nat.csv,FLUB
2023-03-06,375324600377.5856,on going,Mov-FluB-Nat.csv,FLUB
2023-03-13,426416350629.0759,on going,Mov-FluB-Nat.csv,FLUB
2023-03-20,480724084600.00336,on going,Mov-FluB-Nat.csv,FLUB
2023-03-27,385447934687.8623,on going,Mov-FluB-Nat.csv,FLUB
2023-04-03,444683926109.6587,on going,Mov-FluB-Nat.csv,FLUB
2023-04-10,258551478655.36667,on going,Mov-FluB-Nat.csv,FLUB
2023-04-17,110327741673.28668,on going,Mov-FluB-Nat.csv,FLUB
2023-04-24,44890384206.32267,on going,Mov-FluB-Nat.csv,FLUB
2023-05-01,78303174246.404,on going,Mov-FluB-Nat.csv,FLUB
2023-05-08,78303174246.404,end,Mov-FluB-Nat.csv,FLUB
2023-05-15,33412790040.081333,none,Mov-FluB-Nat.csv,FLUB
2023-05-22,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-05-29,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-06-05,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-06-12,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-06-19,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-06-26,7477601876.061367,none,Mov-FluB-Nat.csv,FLUB
2023-07-03,7477601876.061367,none,Mov-FluB-Nat.csv,FLUB
2023-07-10,7477601876.061367,none,Mov-FluB-Nat.csv,FLUB
2023-07-17,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-07-24,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-07-31,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-08-07,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-08-14,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-08-21,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-08-28,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-09-04,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-09-11,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-09-18,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-09-25,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-10-02,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-10-09,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-10-16,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-10-23,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-10-30,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-11-06,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-11-13,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-11-20,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-11-27,36841408023.771,none,Mov-FluB-Nat.csv,FLUB
2023-12-04,36841408023.771,none,Mov-FluB-Nat.csv,FLUB
2023-12-11,36841408023.771,none,Mov-FluB-Nat.csv,FLUB
2023-12-18,0.0,none,Mov-FluB-Nat.csv,FLUB
2023-12-25,0.0,none,Mov-FluB-Nat.csv,FLUB
2024-01-01,0.0,none,Mov-FluB-Nat.csv,FLUB
2024-01-08,0.0,none,Mov-FluB-Nat.csv,FLUB
2024-01-15,0.0,none,Mov-FluB-Nat.csv,FLUB
2024-01-22,0.0,none,Mov-FluB-Nat.csv,FLUB
2024-01-29,0.0,none,Mov-FluB-Nat.csv,FLUB
2024-02-05,0.0,none,Mov-FluB-Nat.csv,FLUB
2024-02-12,0.0,none,Mov-FluB-Nat.csv,FLUB
2024-02-19,0.0,none,Mov-FluB-Nat.csv,FLUB
2024-02-26,0.0,none,Mov-FluB-Nat.csv,FLUB
2024-03-04,31112695315.45753,none,Mov-FluB-Nat.csv,FLUB
2024-03-11,31112695315.45753,none,Mov-FluB-Nat.csv,FLUB
2024-03-18,31112695315.45753,none,Mov-FluB-Nat.csv,FLUB
2024-03-25,0.0,none,Mov-FluB-Nat.csv,FLUB
2024-04-01,0.0,none,Mov-FluB-Nat.csv,FLUB
2024-04-08,19058971919.811638,none,Mov-FluB-Nat.csv,FLUB
2024-04-15,47477839281.30417,none,Mov-FluB-Nat.csv,FLUB
2024-04-22,97204246347.31915,none,Mov-FluB-Nat.csv,FLUB
2024-04-29,115541892492.60254,none,Mov-FluB-Nat.csv,FLUB
2024-05-06,123859888953.12468,none,Mov-FluB-Nat.csv,FLUB
2024-05-13,86795288527.04411,none,Mov-FluB-Nat.csv,FLUB
2024-05-20,49398670461.9491,none,Mov-FluB-Nat.csv,FLUB
2024-05-27,12661806639.934431,none,Mov-FluB-Nat.csv,FLUB
2024-06-03,5979299413.9682665,none,Mov-FluB-Nat.csv,FLUB
2024-06-10,5979299413.9682665,none,Mov-FluB-Nat.csv,FLUB
2024-06-17,5979299413.9682665,none,Mov-FluB-Nat.csv,FLUB
2024-06-24,9751887361.986032,none,Mov-FluB-Nat.csv,FLUB
2024-07-01,13934013449.6191,none,Mov-FluB-Nat.csv,FLUB
2024-07-08,13934013449.6191,none,Mov-FluB-Nat.csv,FLUB
2024-07-15,4182126087.633066,none,Mov-FluB-Nat.csv,FLUB
2024-07-22,0.0,none,Mov-FluB-Nat.csv,FLUB
2024-07-29,0.0,none,Mov-FluB-Nat.csv,FLUB
2024-08-05,0.0,none,Mov-FluB-Nat.csv,FLUB
2024-08-12,7572568199.650434,none,Mov-FluB-Nat.csv,FLUB
2024-08-19,7572568199.650434,none,Mov-FluB-Nat.csv,FLUB
2024-08-26,11041557754.5916,none,Mov-FluB-Nat.csv,FLUB
2024-09-02,3468989554.9411664,none,Mov-FluB-Nat.csv,FLUB
2024-09-09,13376750358.7863,none,Mov-FluB-Nat.csv,FLUB
2024-09-16,16057964300.927967,none,Mov-FluB-Nat.csv,FLUB
2024-09-23,16057964300.927967,none,Mov-FluB-Nat.csv,FLUB
2024-09-30,8650203513.567392,none,Mov-FluB-Nat.csv,FLUB
2024-10-07,4543005383.966723,none,Mov-FluB-Nat.csv,FLUB
2024-10-14,16597156606.954355,none,Mov-FluB-Nat.csv,FLUB
2024-10-21,20071488679.369564,none,Mov-FluB-Nat.csv,FLUB
2024-10-28,29917181962.756294,none,Mov-FluB-Nat.csv,FLUB
2024-11-04,48028188935.59023,none,Mov-FluB-Nat.csv,FLUB
2024-11-11,45174412709.71063,none,Mov-FluB-Nat.csv,FLUB
2024-11-18,33285714058.84172,none,Mov-FluB-Nat.csv,FLUB
2024-11-25,22728271608.70145,start,Mov-FluB-Nat.csv,FLUB
2024-12-02,36303454665.18983,start,Mov-FluB-Nat.csv,FLUB
2024-12-09,106897153264.32253,start,Mov-FluB-Nat.csv,FLUB
2024-12-16,221875939787.1552,start,Mov-FluB-Nat.csv,FLUB
2024-12-23,307770301301.47,start,Mov-FluB-Nat.csv,FLUB
2025-01-06,403759506805.542,start,Mov-FluB-Nat.csv,FLUB
2025-01-13,1072616265762.3,on going,Mov-FluB-Nat.csv,FLUB
2025-01-20,1013351271379.1685,on going,Mov-FluB-Nat.csv,FLUB
2025-01-27,1869235105820.6355,on going,Mov-FluB-Nat.csv,FLUB
2025-02-03,1949521516403.8584,on going,Mov-FluB-Nat.csv,FLUB
2025-02-10,2445578066101.9834,on going,Mov-FluB-Nat.csv,FLUB
2025-02-17,2084814238981.1565,on going,Mov-FluB-Nat.csv,FLUB
2025-02-24,2523728186391.2563,on going,Mov-FluB-Nat.csv,FLUB
2025-03-03,2277005172559.933,on going,Mov-FluB-Nat.csv,FLUB
2025-03-10,1721030408349.1584,on going,Mov-FluB-Nat.csv,FLUB
2025-03-17,1038957961768.402,on going,Mov-FluB-Nat.csv,FLUB
2025-03-24,600744358735.566,on going,Mov-FluB-Nat.csv,FLUB
2025-03-31,418140709612.933,end,Mov-FluB-Nat.csv,FLUB
2025-04-07,283902397642.1777,end,Mov-FluB-Nat.csv,FLUB
2025-04-14,196606117653.4193,end,Mov-FluB-Nat.csv,FLUB
2025-04-21,145641199704.309,end,Mov-FluB-Nat.csv,FLUB
2025-04-28,98453595906.91386,end,Mov-FluB-Nat.csv,FLUB
2025-05-05,58390351716.96339,end,Mov-FluB-Nat.csv,FLUB
2025-05-12,25503514135.21753,none,Mov-FluB-Nat.csv,FLUB
2025-05-19,16705090467.870962,none,Mov-FluB-Nat.csv,FLUB
2025-05-26,14915922813.935766,none,Mov-FluB-Nat.csv,FLUB
2025-06-02,5789646436.861867,none,Mov-FluB-Nat.csv,FLUB
2025-06-09,5605902511.0249,none,Mov-FluB-Nat.csv,FLUB
2025-06-16,5605902511.0249,none,Mov-FluB-Nat.csv,FLUB
2025-06-23,5430499060.119006,none,Mov-FluB-Nat.csv,FLUB
2021-10-18,0.0,none,Mov-FluB-Nat.csv,FLUB
2021-10-25,0.0,none,Mov-FluB-Nat.csv,FLUB
2021-11-01,0.0,none,Mov-FluB-Nat.csv,FLUB
2021-11-08,0.0,none,Mov-FluB-Nat.csv,FLUB
2021-11-15,0.0,none,Mov-FluB-Nat.csv,FLUB
2021-11-22,0.0,none,Mov-FluB-Nat.csv,FLUB
2021-11-29,0.0,none,Mov-FluB-Nat.csv,FLUB
2021-12-06,18606543284.98413,none,Mov-FluB-Nat.csv,FLUB
2021-12-13,18606543284.98413,none,Mov-FluB-Nat.csv,FLUB
2021-12-20,18606543284.98413,none,Mov-FluB-Nat.csv,FLUB
2021-12-27,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-01-03,0.0,none,Mov-FluB-Nat.csv,FLUB
2022-01-10,0.0,none,Mov-FluB-Nat.csv,FLUB
