time,rna_copies,label
2024-09-30,0.0,RSV
2024-10-07,0.0,RSV
2024-10-14,0.0,RSV
2024-10-21,0.0,RSV
2024-10-28,0.0,RSV
2024-11-04,103349588858.094,RSV
2024-11-11,0.0,RSV
2024-11-25,0.0,RSV
2024-12-02,0.0,RSV
2024-12-09,299433116818.097,RSV
2024-12-16,309161232445.84,RSV
2025-01-13,396913647985.504,RSV
2025-01-20,1466291384602.91,RSV
2025-01-27,1472338887770.53,RSV
2025-02-03,525494381409.788,RSV
2025-02-10,1149744926139.28,RSV
2025-02-17,1065443463350.3,RSV
2025-02-24,3904484291618.62,RSV
2025-03-03,472637818361.667,RSV
2025-03-10,663633315728.497,RSV
2025-03-17,394705007667.303,RSV
2025-03-24,1956103019343.01,RSV
2025-03-31,922195710918.398,RSV
2025-04-07,0.0,RSV
2025-04-14,332101314369.916,RSV
2025-04-21,711777694766.75,RSV
2025-04-28,0.0,RSV
2025-05-05,157286554832.493,RSV
2025-05-12,250352944083.366,RSV
2025-05-19,0.0,RSV
2025-05-26,0.0,RSV
2025-06-02,0.0,RSV
2025-06-09,0.0,RSV
2025-06-16,0.0,RSV
2025-06-23,0.0,RSV
