time,rna_copies,label
2023-06-05,,RSV
2023-06-12,,RSV
2023-06-19,,RSV
2023-06-26,,RSV
2023-07-03,,RSV
2023-07-10,,RSV
2023-07-17,,RSV
2023-07-24,,RSV
2023-07-31,,RSV
2023-08-07,,RSV
2023-08-14,,RSV
2023-08-21,,RSV
2023-08-28,,RSV
2023-09-04,,RSV
2023-09-11,,RSV
2023-09-18,,RSV
2023-09-25,,RSV
2023-10-02,,RSV
2023-10-09,,RSV
2023-10-16,,RSV
2023-10-23,,RSV
2023-10-30,,RSV
2023-11-06,,RSV
2023-11-13,,RSV
2023-11-20,,RSV
2023-11-27,,RSV
2023-12-04,,RSV
2023-12-11,,RSV
2023-12-18,,RSV
2023-12-25,,RSV
2024-01-01,,RSV
2024-01-08,,RSV
2024-01-15,,RSV
2024-01-22,,RSV
2024-01-29,,RSV
2024-02-05,,RSV
2024-02-12,,RSV
2024-02-19,,RSV
2024-02-26,,RSV
2024-03-04,,RSV
2024-03-11,,RSV
2024-03-18,,RSV
2024-03-25,,RSV
2024-04-01,,RSV
2024-04-08,,RSV
2024-04-15,,RSV
2024-04-22,,RSV
2024-04-29,,RSV
2024-05-06,,RSV
2024-05-13,,RSV
2024-05-20,,RSV
2024-05-27,,RSV
2024-06-03,,RSV
2024-06-10,,RSV
2024-06-17,,RSV
2024-06-24,,RSV
2024-07-01,,RSV
2024-07-08,,RSV
2024-07-15,,RSV
2024-07-22,,RSV
2024-07-29,,RSV
2024-08-05,,RSV
2024-08-12,,RSV
2024-08-19,,RSV
2024-08-26,,RSV
2024-09-02,,RSV
2024-09-09,,RSV
2024-09-16,,RSV
2024-09-23,,RSV
2024-09-30,0.0,RSV
2024-10-07,0.0,RSV
2024-10-14,0.0,RSV
2024-10-21,0.0,RSV
2024-10-28,0.0,RSV
2024-11-04,70563786977.7219,RSV
2024-11-11,272170992943.548,RSV
2024-11-18,,RSV
2024-11-25,392191929007.09,RSV
2024-12-02,392967740984.373,RSV
2024-12-09,699751097117.7,RSV
2024-12-16,1385815911676.29,RSV
2024-12-23,,RSV
2025-01-06,,RSV
2025-01-13,731257583073.391,RSV
2025-01-20,682524678710.968,RSV
2025-01-27,1052940082273.18,RSV
2025-02-03,446369229863.247,RSV
2025-02-10,640312919124.48,RSV
2025-02-17,444852700929.488,RSV
2025-02-24,942997607015.226,RSV
2025-03-03,0.0,RSV
2025-03-10,361329034755.484,RSV
2025-03-17,354038716680.26,RSV
2025-03-24,149734403014.183,RSV
2025-03-31,156207619514.517,RSV
2025-04-07,199404880762.1,RSV
2025-04-14,96010353110.3226,RSV
2025-04-21,134182732211.005,RSV
2025-04-28,0.0,RSV
2025-05-05,0.0,RSV
2025-05-12,0.0,RSV
2025-05-19,73290501527.8887,RSV
2025-05-26,0.0,RSV
2025-06-02,0.0,RSV
2025-06-09,0.0,RSV
2025-06-16,0.0,RSV
2025-06-23,0.0,RSV
