time,rna_copies,label
2023-10-23,0.03573123804218845,SARS
2023-10-30,-0.2979165085999687,SARS
2023-11-06,-0.6523088412068742,SARS
2023-11-13,0.052853532807786874,SARS
2023-11-20,0.016637866836675536,SARS
2023-11-27,-0.027475569519137287,SARS
2023-12-04,0.1359365591065016,SARS
2023-12-11,0.12379289948652192,SARS
2023-12-18,0.14614482558155803,SARS
2023-12-25,-0.040118511483816635,SARS
2024-01-01,-0.30868703560264454,SARS
2024-01-08,-0.19941430061375645,SARS
2024-01-15,-0.0751001233453388,SARS
2024-01-22,-0.02929983056011098,SARS
2024-01-29,0.040729312522283304,SARS
2024-02-05,-0.0024135724538395034,SARS
2024-02-12,-0.0024135724538395034,SARS
2024-02-19,-0.0024135724538395034,SARS
2024-02-26,-0.0024135724538395034,SARS
2024-03-04,-0.0024135724538395034,SARS
2024-03-11,-0.0024135724538395034,SARS
2024-03-18,-0.0024135724538395034,SARS
2024-03-25,-0.0024135724538395034,SARS
2024-04-01,-0.0024135724538395034,SARS
2024-04-08,-0.0024135724538395034,SARS
2024-04-15,-0.0024135724538395034,SARS
2024-04-22,-0.0024135724538395034,SARS
2024-04-29,-0.0024135724538395034,SARS
2024-05-06,-0.0024135724538395034,SARS
2024-05-13,-0.0024135724538395034,SARS
2024-05-20,-0.0024135724538395034,SARS
2024-05-27,-0.0024135724538395034,SARS
2024-06-03,-0.0024135724538395034,SARS
2024-06-10,-0.0024135724538395034,SARS
2024-06-17,-0.0024135724538395034,SARS
2024-06-24,-0.0024135724538395034,SARS
2024-07-01,-0.0024135724538395034,SARS
2024-07-08,-0.0024135724538395034,SARS
2024-07-15,-0.0024135724538395034,SARS
2024-07-22,-0.0024135724538395034,SARS
2024-07-29,-0.0024135724538395034,SARS
2024-08-05,-0.0024135724538395034,SARS
2024-08-12,-0.0024135724538395034,SARS
2024-08-19,-0.0024135724538395034,SARS
2024-08-26,-0.0024135724538395034,SARS
2024-09-02,-0.0024135724538395034,SARS
2024-09-09,-0.0024135724538395034,SARS
2024-09-16,-0.0024135724538395034,SARS
2024-09-23,-0.0024135724538395034,SARS
2024-09-30,-0.0024135724538395034,SARS
2024-10-07,-0.0024135724538395034,SARS
2024-10-14,-0.0024135724538395034,SARS
2024-10-21,-0.0024135724538395034,SARS
2024-10-28,-0.0024135724538395034,SARS
2024-11-04,-0.0024135724538395034,SARS
2024-11-11,-0.0024135724538395034,SARS
2024-11-18,-0.0024135724538395034,SARS
2024-11-25,-0.0024135724538395034,SARS
2024-12-02,-0.0024135724538395034,SARS
2024-12-09,-0.0024135724538395034,SARS
2024-12-16,-0.0024135724538395034,SARS
2024-12-23,-0.0024135724538395034,SARS
2025-01-06,-0.0024135724538395034,SARS
2025-01-13,-0.0024135724538395034,SARS
2025-01-20,-0.0024135724538395034,SARS
2025-01-27,-0.0024135724538395034,SARS
2025-02-03,-0.0024135724538395034,SARS
2025-02-10,-0.0024135724538395034,SARS
2025-02-17,-0.0024135724538395034,SARS
2025-02-24,-0.0024135724538395034,SARS
2025-03-03,-0.0024135724538395034,SARS
2025-03-10,-0.0024135724538395034,SARS
2025-03-17,-0.0024135724538395034,SARS
2025-03-24,-0.0024135724538395034,SARS
2025-03-31,-0.0024135724538395034,SARS
2025-04-07,-0.0024135724538395034,SARS
2025-04-14,-0.0024135724538395034,SARS
2025-04-21,-0.0024135724538395034,SARS
2025-04-28,-0.0024135724538395034,SARS
2025-05-05,-0.0024135724538395034,SARS
2025-05-12,-0.0024135724538395034,SARS
2025-05-19,-0.0024135724538395034,SARS
2025-05-26,-0.0024135724538395034,SARS
2025-06-02,0.07966244140897179,SARS
2025-06-09,0.12070044834037744,SARS
2025-06-16,0.12996304669563996,SARS
2025-06-23,0.09355633894186552,SARS
